坍落度识别批量处理报告
==================================================

处理时间: 2025-09-15 14:05:48
7_28_17_23-185_432.jpg: 类别9_181-184 (57.29%)
7_28_17_23-185_433.jpg: 类别9_181-184 (52.44%)
7_28_17_23-185_434.jpg: 类别9_181-184 (56.02%)
7_28_17_23-185_435.jpg: 类别9_181-184 (55.96%)
7_28_17_23-185_436.jpg: 类别9_181-184 (53.63%)
7_28_17_23-185_437.jpg: 类别9_181-184 (54.38%)
7_28_17_23-185_438.jpg: 类别9_181-184 (51.88%)
7_28_17_23-185_439.jpg: 类别9_181-184 (55.14%)
7_28_17_23-185_440.jpg: 类别9_181-184 (54.62%)
7_28_17_23-185_441.jpg: 类别9_181-184 (54.55%)
7_28_17_23-185_442.jpg: 类别9_181-184 (55.36%)
7_28_17_23-185_443.jpg: 类别9_181-184 (54.44%)
7_28_17_23-185_444.jpg: 类别9_181-184 (55.22%)
7_28_17_23-185_445.jpg: 类别9_181-184 (54.89%)
7_28_17_23-185_446.jpg: 类别9_181-184 (56.77%)
7_28_17_23-185_447.jpg: 类别9_181-184 (55.42%)
7_28_17_23-185_448.jpg: 类别9_181-184 (53.99%)
7_28_17_23-185_449.jpg: 类别9_181-184 (55.19%)
7_28_17_23-185_450.jpg: 类别9_181-184 (55.28%)
7_28_17_23-185_451.jpg: 类别9_181-184 (54.72%)
7_28_17_23-185_452.jpg: 类别9_181-184 (55.65%)
7_28_17_23-185_453.jpg: 类别9_181-184 (56.51%)
7_28_17_23-185_454.jpg: 类别9_181-184 (56.94%)
7_28_17_23-185_455.jpg: 类别9_181-184 (56.43%)
7_28_17_23-185_456.jpg: 类别9_181-184 (58.89%)
7_28_17_23-185_457.jpg: 类别9_181-184 (55.88%)
7_28_17_23-185_458.jpg: 类别9_181-184 (55.83%)
7_28_17_23-185_459.jpg: 类别9_181-184 (56.80%)
7_28_17_23-185_460.jpg: 类别9_181-184 (55.67%)
7_28_17_23-185_461.jpg: 类别9_181-184 (56.47%)
7_28_17_23-185_462.jpg: 类别9_181-184 (55.24%)
7_28_17_23-185_463.jpg: 类别9_181-184 (54.85%)
7_28_17_23-185_464.jpg: 类别9_181-184 (55.68%)
7_28_17_23-185_465.jpg: 类别9_181-184 (58.55%)
7_28_17_23-185_466.jpg: 类别9_181-184 (55.31%)
7_28_17_23-185_467.jpg: 类别9_181-184 (56.41%)
7_28_17_23-185_468.jpg: 类别9_181-184 (55.16%)
7_28_17_23-185_469.jpg: 类别9_181-184 (56.13%)
7_28_17_23-185_470.jpg: 类别9_181-184 (55.12%)
7_28_17_23-185_471.jpg: 类别9_181-184 (54.50%)
7_28_17_23-185_472.jpg: 类别9_181-184 (53.93%)
7_28_17_23-185_473.jpg: 类别9_181-184 (54.95%)
7_28_17_23-185_474.jpg: 类别9_181-184 (56.02%)
7_28_17_23-185_475.jpg: 类别9_181-184 (53.06%)
7_28_17_23-185_476.jpg: 类别9_181-184 (54.70%)
7_28_17_23-185_477.jpg: 类别9_181-184 (55.38%)
7_28_17_23-185_478.jpg: 类别9_181-184 (57.81%)
7_28_17_23-185_479.jpg: 类别9_181-184 (54.75%)
7_28_17_23-185_480.jpg: 类别9_181-184 (52.55%)
7_28_17_23-185_481.jpg: 类别9_181-184 (52.57%)
7_28_17_23-185_482.jpg: 类别9_181-184 (53.22%)
7_28_17_23-185_483.jpg: 类别9_181-184 (54.33%)
7_28_17_23-185_484.jpg: 类别9_181-184 (54.39%)
7_28_17_23-185_485.jpg: 类别9_181-184 (55.82%)
7_28_17_23-185_486.jpg: 类别9_181-184 (55.16%)
7_28_17_23-185_487.jpg: 类别9_181-184 (56.16%)
7_28_17_23-185_488.jpg: 类别9_181-184 (55.31%)
7_28_17_23-185_489.jpg: 类别9_181-184 (56.09%)
7_28_17_23-185_490.jpg: 类别9_181-184 (51.20%)
7_28_17_23-185_491.jpg: 类别9_181-184 (53.72%)
7_28_17_23-185_492.jpg: 类别9_181-184 (56.03%)
7_28_17_23-185_493.jpg: 类别9_181-184 (54.46%)
7_28_17_23-185_494.jpg: 类别9_181-184 (53.09%)
7_28_17_23-185_495.jpg: 类别9_181-184 (54.82%)
7_28_17_23-185_496.jpg: 类别9_181-184 (55.51%)
7_28_17_23-185_497.jpg: 类别9_181-184 (54.58%)
7_28_17_23-185_498.jpg: 类别9_181-184 (56.51%)
7_28_17_23-185_499.jpg: 类别9_181-184 (55.52%)
7_28_17_23-185_500.jpg: 类别9_181-184 (55.08%)
7_28_17_23-185_501.jpg: 类别9_181-184 (55.21%)
7_28_17_23-185_502.jpg: 类别9_181-184 (54.24%)
7_28_17_23-185_503.jpg: 类别9_181-184 (55.82%)
7_28_17_23-185_504.jpg: 类别9_181-184 (56.50%)
7_28_17_23-185_505.jpg: 类别9_181-184 (55.87%)
7_28_17_23-185_506.jpg: 类别9_181-184 (56.59%)
7_28_17_23-185_507.jpg: 类别9_181-184 (52.69%)
7_28_17_23-185_508.jpg: 类别9_181-184 (57.28%)
7_28_17_23-185_509.jpg: 类别9_181-184 (55.88%)
7_28_17_23-185_510.jpg: 类别9_181-184 (56.46%)
7_28_17_23-185_511.jpg: 类别9_181-184 (54.29%)
7_28_17_23-185_512.jpg: 类别9_181-184 (55.52%)
7_28_17_23-185_513.jpg: 类别9_181-184 (57.37%)
7_28_17_23-185_514.jpg: 类别9_181-184 (55.77%)
7_28_17_23-185_515.jpg: 类别9_181-184 (56.18%)
7_28_17_23-185_516.jpg: 类别9_181-184 (52.89%)
7_28_17_23-185_517.jpg: 类别9_181-184 (54.24%)
7_28_17_23-185_518.jpg: 类别9_181-184 (53.85%)
7_28_17_23-185_519.jpg: 类别9_181-184 (57.19%)
7_28_17_23-185_520.jpg: 类别9_181-184 (57.69%)
7_28_17_23-185_521.jpg: 类别9_181-184 (52.71%)
7_28_17_23-185_522.jpg: 类别9_181-184 (56.17%)
7_28_17_23-185_523.jpg: 类别9_181-184 (53.64%)
7_28_17_23-185_524.jpg: 类别9_181-184 (55.28%)
7_28_17_23-185_525.jpg: 类别9_181-184 (55.98%)
7_28_17_23-185_526.jpg: 类别9_181-184 (56.20%)
7_28_17_23-185_527.jpg: 类别9_181-184 (55.26%)
7_28_17_23-185_528.jpg: 类别9_181-184 (56.45%)
7_28_17_23-185_529.jpg: 类别9_181-184 (53.74%)
7_28_17_23-185_530.jpg: 类别9_181-184 (56.13%)
7_28_17_23-185_531.jpg: 类别9_181-184 (54.84%)
7_28_17_23-185_532.jpg: 类别9_181-184 (57.11%)
7_28_17_23-185_533.jpg: 类别9_181-184 (54.94%)
7_28_17_23-185_534.jpg: 类别9_181-184 (56.65%)
7_28_17_23-185_535.jpg: 类别9_181-184 (56.67%)
7_28_17_23-185_536.jpg: 类别9_181-184 (54.08%)
7_28_17_23-185_537.jpg: 类别9_181-184 (54.34%)
7_28_17_23-185_538.jpg: 类别9_181-184 (55.49%)
7_28_17_23-185_539.jpg: 类别9_181-184 (55.92%)
7_28_17_23-185_540.jpg: 类别9_181-184 (55.56%)
7_28_17_23-185_541.jpg: 类别9_181-184 (53.64%)
7_28_17_23-185_542.jpg: 类别9_181-184 (55.71%)
7_28_17_23-185_543.jpg: 类别9_181-184 (53.50%)
7_28_17_23-185_544.jpg: 类别9_181-184 (56.40%)
7_28_17_23-185_545.jpg: 类别9_181-184 (56.09%)
7_28_17_23-185_546.jpg: 类别9_181-184 (55.33%)
7_28_17_23-185_547.jpg: 类别9_181-184 (52.94%)
7_28_17_23-185_548.jpg: 类别9_181-184 (55.86%)
7_28_17_23-185_549.jpg: 类别9_181-184 (56.21%)
7_28_17_23-185_550.jpg: 类别9_181-184 (53.90%)
7_28_17_23-185_551.jpg: 类别9_181-184 (55.34%)
7_28_17_23-185_552.jpg: 类别9_181-184 (55.68%)
